name,age,hometown,job,outcome,season
Haley Ferguson,23,"Las Vegas, Nevada",Waitress,Week 4,./season_20.csv
Jami Letain,23,"St. Albert, Alberta",Bartender,Week 3,./season_20.csv
Shushanna Mkrtychyan,27,"Salt Lake City, Utah",Property Manager,Week 3,./season_20.csv
Lace Morris,25,"Denver, Colorado",Real Estate Agent,Week 3,./season_20.csv
Amanda Kremer,28,"Portland, Oregon",Dentist,Week 2,./season_20.csv
Jacqueline Dion,23,"Newport Beach, California",Gerontologist,Week 2,./season_20.csv
Samantha Passmore,26,"New Smyrna Beach, Florida",Attorney,Week 2,./season_20.csv
Lauren Barr,23,"Stillwater, Oklahoma",Fashion Buyer,Week 2,./season_20.csv
Breanne Rice,30,"Seattle, Washington",Nutritional Therapist,Week 1,./season_20.csv
Isabel Goodkind,24,"Branford, Connecticut",Graphic Designer,Week 1,./season_20.csv
Jessica Moser,23,"Boca Raton, Florida",Accountant,Week 1,./season_20.csv
Laura Esselman,24,"Louisville, Kentucky",Account Executive,Week 1,./season_20.csv
Lauren Russell,26,"Houston, Texas",Math Teacher,Week 1,./season_20.csv
Maegan Miller,30,"Visalia, California",Cowgirl,Week 1,./season_20.csv
Tiara Soleim,27,"Redmond, Washington",Chicken Enthusiast,Week 1,./season_20.csv
Vanessa Grimaldi,29,"Montreal, Quebec",Special Education Teacher,Winner,./season_21.csv
Raven Gates,25,"Hoxie, Arkansas",Fashion Boutique Owner,Runner-Up,./season_21.csv
Rachel Lindsay,31,"Dallas, Texas",Attorney,Week 9,./season_21.csv
Corinne Olympios,24,"Miami, Florida",Business Owner,Week 8,./season_21.csv
Kristina Schulman,24,"Lexington, Kentucky",Dental Hygienist,Week 7,./season_21.csv
Danielle Maltby,31,"Colgate, Wisconsin",Neonatal Nurse,Week 7,./season_21.csv
Danielle Lombard,27,"Danville, California",Small Business Owner,Week 6,./season_21.csv
Whitney Fransway,25,"Chanhassen, Minnesota",Pilates Instructor,Week 6,./season_21.csv
Jasmine Goode,29,"Maplewood, New Jersey",Pro Basketball Dancer,Week 6,./season_21.csv
Alexis Waters,23,"Secaucus, New Jersey",Aspiring Dolphin Trainer,Week 5,./season_21.csv
Jaimi King,28,"New Orleans, Louisiana",Chef,Week 5,./season_21.csv
Josephine Tutman,24,"Santa Cruz, California",Registered Nurse,Week 5,./season_21.csv
Taylor Nolan,23,"Seattle, Washington",Mental Health Counselor,Week 5,./season_21.csv
Astrid Loch,26,"Tampa, Florida",Plastic Surgery Office Manager,Week 4,./season_21.csv
Sarah Vendal,26,"Palmdale, California",Grade School Teacher,Week 4,./season_21.csv
Brittany Farrar,26,"Santa Monica, California",Travel Nurse,Week 3,./season_21.csv
Christen Whitney,25,"Martinsville, Indiana",Wedding Videographer,Week 3,./season_21.csv
Dominique Alexis,25,"Los Angeles, California",Restaurant Server,Week 3,./season_21.csv
Elizabeth Whitelaw,24,"New Trier, Illinois",Marketing Manager,Week 2,./season_21.csv
Hailey Merkt,23,"Vancouver, British Columbia",Photographer,Week 2,./season_21.csv
Lacey Mark,25,"Montville, New Jersey",Digital Marketing Manager,Week 2,./season_21.csv
Elizabeth Sandoz,29,"Scottsbluff, Nebraska",Doula,Week 2,./season_21.csv
Angela Amezcua,26,"Cumberland, Maryland",Model,Week 1,./season_21.csv
Briana Guertler,28,"Salt Lake City, Utah",Surgical Unit Nurse,Week 1,./season_21.csv
Ida Marie DeLosSantos,23,"Harlingen, Texas",Sales Manager,Week 1,./season_21.csv
Jasmine Brown,25,"Tacoma, Washington",Flight Attendant,Week 1,./season_21.csv
Lauren Hussey,30,"Naples, Florida",Law School Graduate,Week 1,./season_21.csv
Michelle Ramkissoon,24,"Silver Spring, Maryland",Food Truck Owner,Week 1,./season_21.csv
Olivia Burnette,25,"Anchorage, Alaska",Apparel Sales Representative,Week 1,./season_21.csv
Susannah Milan,26,"Jamul, California",Account Manager,Week 1,./season_21.csv
Becca Kufrin,27,"Prior Lake, Minnesota",Publicist,Winner,./season_22.csv
Lauren Burnham,25,"Virginia Beach, Virginia",Technology Salesperson,Runner-up,./season_22.csv
Kendall Long,26,"Santa Clarita, California",Creative Director,Week 9,./season_22.csv
Tia Booth,26,"Weiner, Arkansas",Physical Therapist,Week 8,./season_22.csv
Bekah Martinez,22,"Clovis, California",Nanny,Week 7,./season_22.csv
Seinne Fleming,27,"Long Beach, California",Commercial Real Estate Agent,Week 7,./season_22.csv
Jacqueline Trumbull,26,"Morgantown, West Virginia",Research Coordinator,Week 7,./season_22.csv
Chelsea Roy,29,"South Portland, Maine",Real Estate Executive Assistant,Week 6,./season_22.csv
Jenna Cooper,28,"Upland, Indiana",Social Media Manager,Week 6,./season_22.csv
Krystal Nielson,29,"Missoula, Montana",Fitness Coach,Week 6,./season_22.csv
Ashley Luebke,25,"West Palm Beach, Florida",Real Estate Agent,Week 5,./season_22.csv
Maquel Cooper,23,"American Fork, Utah",Photographer,Week 5,./season_22.csv
Marikh Mathias,27,"Salt Lake City, Utah",Restaurant Owner,Week 5,./season_22.csv
Brittany Taylor,30,"Belton, South Carolina",Tech Recruiter,Week 4,./season_22.csv
Caroline Lunny,26,"Holliston, Massachusetts",Realtor,Week 4,./season_22.csv
Bibiana Julian,30,"Miami, Florida",Executive Assistant,Week 3,./season_22.csv
Annaliese Puccini,32,"San Mateo, California",Event Designer,Week 3,./season_22.csv
Lauren Schleyer,31,"Dallas, Texas",Social Media Manager,Week 3,./season_22.csv
Jennifer Delaney,25,"Northbrook, Illinois",Graphic Designer,Week 2,./season_22.csv
Lauren Griffin,26,"Indianapolis, Indiana",Executive Recruiter,Week 2,./season_22.csv
Valerie Biles,26,"Nashville, Tennessee",Server,Week 2,./season_22.csv
Alison Harrington,27,"Lawton, Oklahoma",Personal Stylist,Week 1,./season_22.csv
Amber Wilkerson,29,"Denver, Colorado",Business Owner,Week 1,./season_22.csv
Brianna Amaranthus,25,"Grants Pass, Oregon",Sports Reporter,Week 1,./season_22.csv
Brittane Johnson,27,"San Diego, California",Marketing Manager,Week 1,./season_22.csv
Jessica Carroll,26,"Calgary, Alberta",Television Host,Week 1,./season_22.csv
Lauren Jarreau,33,"New Roads, Louisiana",Recent Master's Graduate,Week 1,./season_22.csv
DNysha Norris,30,"Anderson, South Carolina",Orthopedic Nurse,Week 1,./season_22.csv
Olivia Goethals,23,"Geneseo, Illinois",Marketing Associate,Week 1,./season_22.csv
Cassie Randolph,23,"Huntington Beach, California",Speech Pathologist,Winner,./season_23.csv
Hannah Godwin,23,"Birmingham, Alabama",Content Creator,Week 9,./season_23.csv
Tayshia Adams,28,"Santa Ana, California",Phlebotomist,Week 9,./season_23.csv
Caelynn Miller-Keyes,23,"Fredericksburg, Virginia",Miss North Carolina USA 2018,Week 8,./season_23.csv
Kirpa Sudick,26,"Whittier, California",Dental Hygienist,Week 7,./season_23.csv
Heather Martin,23,"Carlsbad, California",Assistant Program Manager,Week 7,./season_23.csv
Hannah Brown,24,"Northport, Alabama",Miss Alabama USA 2018,Week 7,./season_23.csv
Katie Morton,26,"Oviedo, Florida",Medical Sales Representative,Week 6,./season_23.csv
Demi Burnett,23,"Red Oak, Texas",Interior Designer,Week 6,./season_23.csv
Sydney Lotuaco,27,"Virginia Beach, Virginia",NBA Dancer,Week 6,./season_23.csv
Nicole Lopez-Alvar,25,"Miami, Florida",Social Media Coordinator,Week 5,./season_23.csv
Onyeka Ehie,24,"Manhattan, Kansas",IT Risk Consultant,Week 5,./season_23.csv
Elyse Dehlbom,31,"Soldotna, Alaska",Makeup Artist,Week 5,./season_23.csv
Courtney Curtis,23,"McDonough, Georgia",Caterer,Week 4,./season_23.csv
Tracy Shapoff,31,"Rochester, New York",Wardrobe Stylist,Week 4,./season_23.csv
Brianna Barnes,24,"Chino Hills, California",Model,Week 3,./season_23.csv
Catherine Agro,26,"Fort Lauderdale, Florida",DJ,Week 3,./season_23.csv
Nina Bartula,30,"Raleigh, North Carolina",Sales Account Manager,Week 3,./season_23.csv
Caitlin Clemmens,25,"Toronto, Ontario",Realtor,Week 3,./season_23.csv
Alex Blumberg,29,"Vancouver, British Columbia",Dog Rescuer,Week 2,./season_23.csv
Angelique Sherman,28,"Hamilton, New Jersey",Marketing Salesperson,Week 2,./season_23.csv
Annie Reardon,23,"Mequon, Wisconsin",Financial Associate,Week 2,./season_23.csv
Erika McNutt,25,"Encinitas, California",Recruiter,Week 2,./season_23.csv
Alex Dillon,23,"Dennis, Massachusetts",Sloth,Week 1,./season_23.csv
Devin Gooden,23,"Medford, Oregon",Broadcast Journalist,Week 1,./season_23.csv
Erin Landry,28,"Plano, Texas",Cinderella,WeekWeek 1,./season_23.csv
Adrianne Averbukh,26,"West Hollywood, California",Social Worker,Week 1,./season_23.csv
Laura Pellerito,26,"Dallas, Texas",Accountant,Week 1,./season_23.csv
Revian Chang,24,"Plano, Texas",Nurse,Week 1,./season_23.csv
Tahzjuan Hawkins,25,"Castle Pines, Colorado",Business Development Associate,Week 1,./season_23.csv
Hannah Ann Sluss,23,"Powell, Tennessee",Model,Winner,./season_24.csv
Madison Prewett,23,"Auburn, Alabama",Foster Parent Recruiter,Runner-up,./season_24.csv
Victoria Fuller,26,"Virginia Beach, Virginia",Medical Sales Rep,Week 9,./season_24.csv
Kelsey Weier,28,"Urbandale, Iowa",Professional Clothier,Week 8,./season_24.csv
Kelley Flanagan,27,"North Barrington, Illinois",Attorney,Week 7,./season_24.csv
Natasha Parker,31,"Manhattan, New York",Event Planner,Week 7,./season_24.csv
Mykenna Dorn,22,"Langley, British Columbia",Fashion Blogger,Week 6,./season_24.csv
Sydney Hightower,24,"Northport, Alabama",Retail Marketing Manager,Week 6,./season_24.csv
Tammy Ly,24,"Syracuse, New York",House Flipper,Week 6,./season_24.csv
Victoria Paul,27,"Alexandria, Louisiana",Nurse,Week 6,./season_24.csv
Lexi Buchanan,26,"Jacksonville, Florida",Marketing Coordinator,Week 5,./season_24.csv
Shiann Lewis,27,"Las Vegas, Nevada",Administrative Assistant,Week 5,./season_24.csv
Deandra Kanu,23,"Bar Harbor, Maine",Home Care Coordinator,Week 4,./season_24.csv
Kiarra Norman,23,"Kennesaw, Georgia",Nanny,Week 4,./season_24.csv
Savannah Mullins,27,"Houston, Texas",Realtor,Week 4,./season_24.csv
Alayah Benavidez,24,"Helotes, Texas",Orthodontist Assistant,Week 4,./season_24.csv
Alexa Caves,27,"Springfield, Illinois",Esthetician,Week 4,./season_24.csv
Jasmine Nguyen,25,"Houston, Texas",Client Relations Manager,Week 4,./season_24.csv
Sarah Coffin,24,"Knoxville, Tennessee",Medical Radiographer,Week 4,./season_24.csv
Courtney Perry,26,"Venice, Florida",Cosmetologist,Week 2,./season_24.csv
Lauren Jones,26,"Glendale, California",Marketing Executive,Week 2,./season_24.csv
Payton Moran,24,"Wellesley, Massachusetts",Business Development Rep,Week 2,./season_24.csv
Avonlea Elkins,27,"Fort Worth, Texas",Cattle Rancher,Week 1,./season_24.csv
Eunice Cho,23,"Chicago, Illinois",Flight Attendant,Week 1,./season_24.csv
Jade Gilliland,26,"Mesa, Arizona",Media Buyer,Week 1,./season_24.csv
Jenna Serrano,22,"New Lenox, Illinois",Nursing Student,Week 1,./season_24.csv
Katrina Badowski,28,"St. Charles, Illinois",Pro NBA Dancer,Week 1,./season_24.csv
Kylie Ramos,26,"Davis, California",Entertainment Sales Associate,Week 1,./season_24.csv
Maurissa Gunn,23,"Laurel, Montana",Patient Care Coordinator,Week 1,./season_24.csv
Megan Hops,26,"San Bruno, California",Flight Attendant,Week 1,./season_24.csv
Rachael Kirkconnell,24,"Cumming, Georgia",Graphic Designer,Winner,./season_25.csv
Michelle Young,27,"Woodbury, Minnesota",Teacher,Runner-Up,./season_25.csv
Briana Springs,24,"San Antonio, Texas",Communications Manager,Week 9,./season_25.csv
Serena Pitt,23,"Markham, Ontario",Publicist,Week 8,./season_25.csv
Pieper James,23,"Happy Valley, Oregon",Graduate Student,Week 8,./season_25.csv
Jessenia Cruz,27,"El Paso, Texas",Social Media Marketer,Week 8,./season_25.csv
Kit Keenan,21,"Manhattan, New York",Fashion Entrepreneur,Week 7,./season_25.csv
Abigail Heringer,25,"Salem, Oregon",Client Financial Manager,Week 7,./season_25.csv
Chelsea Vaughn,29,"Marietta, Georgia",Runway Model,Week 6,./season_25.csv
Serena Chew,24,"San Bruno, California",Flight Attendant,Week 6,./season_25.csv
Katie Thurston,29,"Lynnwood, Washington",Bank Marketing Manager,Week 6,./season_25.csv
Brittany Galvin,23,"Hinsdale, Illinois",Model,Week 5,./season_25.csv
Mearg Tareke,32,"Adwa, Ethiopia",Pharmacist,Week 5,./season_25.csv
Ryan Claytor,26,"Mechanicsville, Virginia",Dancer/Choreographer,Week 5,./season_25.csv
Meredith Snyder,23,"Hudson, Ohio",Hairstylist,Week 5,./season_25.csv
Catalina Morales,29,"Caguas, Puerto Rico",Former Miss Universe Puerto Rico,Week 4,./season_25.csv
Lauren Maddox,29,"Miami, Florida",Corporate Attorney,Week 4,./season_25.csv
Mariela Pepin,24,"Severn, Maryland",Marketing Director,Week 4,./season_25.csv
Victoria Larson,27,"Los Angeles, California",Queen,Week 4,./season_25.csv
Anna Redman,24,"Owatonna, Minnesota",Copywriter,Week 4,./season_25.csv
Kaili Anderson,26,"San Diego, California",Hostess,Week 3,./season_25.csv
Khaylah Epps,28,"Durham, North Carolina",Healthcare Advocate,Week 3,./season_25.csv
Kimberly Li,28,"Cypress, California",ICU Nurse,Week 3,./season_25.csv
Sarah Trott,24,"Scripps Ranch, California",Broadcast Journalist,Week 3,./season_25.csv
Alana Milne,26,"San Antonio, Texas",Photographer,Week 2,./season_25.csv
Illeana Pennetto,25,"South Salem, New York",Health Food Developer,Week 2,./season_25.csv
Kristin Hopkins,27,"Virginia Beach, Virginia",Attorney,Week 2,./season_25.csv
Marylynn Sienna,28,"Huntington Beach, California",Event Coordinator,Week 2,./season_25.csv
Sydney Johnson,28,"Franklin, Tennessee",Marketing Specialist,Week 2,./season_25.csv
Alicia Holloway,24,"Morgantown, West Virginia",Professional Ballerina,Week 1,./season_25.csv
Amber Andrews,30,"Rialto, California",Nursing Student,Week 1,./season_25.csv
Carolyn Vallejo,30,"Newburyport, Massachusetts",Journalist,Week 1,./season_25.csv
Casandra Suarez,25,"Lodi, California",Social Worker,Week 1,./season_25.csv
Corrinne Jones,22,"Pomfret, Connecticut",Marketing Manager,Week 1,./season_25.csv
Emani Curl,25,"Albuquerque, New Mexico",Realtor,Week 1,./season_25.csv
Kimberly Courneya,28,"Lake Tapps, Washington",Airline Recruiter,Week 1,./season_25.csv
Saneh Ste. Claire,25,"Vilano Beach, Florida",IT Consultant,Week 1,./season_25.csv
Susie Evans,28,"Poquoson, Virginia",Wedding Videographer,Winner,./season_26.csv
"Gabriela ""Gabby"" Windey",30,"O'Fallon, Illinois",ICU Nurse,Runner-Up,./season_26.csv
Rachel Recchia,25,"Clermont, Florida",Flight Instructor,Week 9,./season_26.csv
Serene Russell,26,"Oklahoma City, Oklahoma",Elementary School Teacher,Week 8,./season_26.csv
Teddi Wright,24,"Redlands, California",Surgical Unit Nurse,Week 7,./season_26.csv
Sarah Hamrick,23,"Spartanburg, South Carolina",Wealth Management Advisor,Week 7,./season_26.csv
Genevieve Parisi,26,"Rehoboth, Massachusetts",Bartender,Week 7,./season_26.csv
Eliza Isichei,25,"Tampa, Florida",Marketing Manager,Week 6,./season_26.csv
Mara Agrait,32,"Collingswood, New Jersey",Entrepreneur,Week 6,./season_26.csv
Hunter Haag,28,"Lake Wylie, South Carolina",Human Resources Specialist,Week 5,./season_26.csv
Marlena Wesh,30,"Virginia Beach, Virginia",Former Olympian,Week 5,./season_26.csv
Shanae Ankney,29,"Sycamore, Ohio",Recruiter,Week 5,./season_26.csv
Jillian Chin,26,"Scituate, Rhode Island",Architectural Historian,Week 4,./season_26.csv
Lyndsey Windham,28,"Orange, Texas",Industrial Sales Representative,Week 4,./season_26.csv
Sierra Jackson,26,"Oklahoma City, Oklahoma",Yoga Instructor,Week 4,./season_26.csv
Elizabeth Corrigan,32,"Highlands Ranch, Colorado",Real Estate Advisor,Week 3,./season_26.csv
Kira Mengistu,32,"Greensboro, North Carolina",Physician,Week 3,./season_26.csv
Melina Nasab,27,"West Hollywood, California",Personal Trainer,Week 3,./season_26.csv
Ency Abedin,28,"Burbank, California",Sales Manager,Week 2,./season_26.csv
Kate Gallivan,32,"Clarksville, Tennessee",Real Estate Agent,Week 2,./season_26.csv
Tessa Tookes,26,"Stamford, Connecticut",Human Resources Specialist,Week 2,./season_26.csv
Cassidy Timbrooks,26,"Cave Creek, Arizona",Executive Recruiter,Week 2,./season_26.csv
Daria Rose,24,"Baldwin, New York",Law Student,Week 1,./season_26.csv
Hailey Malles,26,"Orlando, Florida",Pediatric Nurse,Week 1,./season_26.csv
Ivana Noble,31,"Snellville, Georgia",Bar Mitzvah Dancer,Week 1,./season_26.csv
Jane Paik,33,"Santa Monica, California",Social Media Director,Week 1,./season_26.csv
Lindsay Dobbs,27,"Warner Robins, Georgia",Neonatal Nurse,Week 1,./season_26.csv
Rianna Hockaday,26,"Mount Pleasant, Texas",Registered Nurse,Week 1,./season_26.csv
Samantha Jeffries,26,"Dayton, Ohio",Occupational Therapist,Week 1,./season_26.csv
Claire Heilig,28,"Virginia Beach, Virginia",Spray Tanner,Week 1,./season_26.csv
Kaitlyn Biggar,27,"Kingston, Ontario",Travel Nurse,Winner,./season_27.csv
Gabriella Elnicki,25,"Pittsford, Vermont",Senior Account Executive,Runner-Up,./season_27.csv
Ariel Frenkel,28,"Manhattan, New York",Marketing Executive,Week 9,./season_27.csv
Charity Lawson,26,"Columbus, Georgia",Child and Family Therapist,Week 8,./season_27.csv
Katherine Izzo,26,"Tampa, Florida",Registered Nurse,Week 7,./season_27.csv
Brooklyn Willie,25,"Mineola, Texas",Rodeo Racer,Week 7,./season_27.csv
Greer Blitzer,24,"Bellaire, Texas",Medical Sales Representative,Week 7,./season_27.csv
Alyssa Jacobs,26,"Smyrna, Georgia",Healthcare Strategist,Week 6,./season_27.csv
Jessica Girod,23,"Winter Springs, Florida",E-Commerce Coordinator,Week 6,./season_27.csv
Kylee Russell,25,"Charlotte, North Carolina",Postpartum Nurse,Week 5,./season_27.csv
Mercedes Northup,24,"Bloomfield, Iowa",Nonprofit Case Manager,Week 5,./season_27.csv
Davia Bunch,25,"Roebuck, South Carolina",Marketing Manager,Week 4,./season_27.csv
Genevie Mayo,26,"Joppa, Maryland",Neonatal Nurse,Week 4,./season_27.csv
Anastasia Keramidas,30,"Baltimore, Maryland",Content Marketing Manager,Week 4,./season_27.csv
Christina Mandrell,26,"Hendersonville, Tennessee",Content Creator,Week 3,./season_27.csv
Brianna Thorbourne,24,"Jersey City, New Jersey",Entrepreneur,Week 3,./season_27.csv
Bailey Brown,27,"Brentwood, Tennessee",Executive Recruiter,Week 3,./season_27.csv
Catherine Wong,26,"Bushwick, New York",Professional Dancer,Week 2,./season_27.csv
Kimberly Gutierrez,30,"Stroudsburg, Pennsylvania",Hospitality Manager,Week 2,./season_27.csv
Victoria Jameson,30,"Keller, Texas",Professional Makeup Artist,Week 2,./season_27.csv
Becca Serrano,25,"Burbank, California",Nursing Student,Week 1,./season_27.csv
Cara Ammon,27,"McCandless, Pennsylvania",Corporate Recruiter,Week 1,./season_27.csv
Holland Parsons,24,"Boca Raton, Florida",Insurance Marketer,Week 1,./season_27.csv
Lekha Ravi,29,"Miami, Florida",Financial Advisor,Week 1,./season_27.csv
Olivia Lewis,24,"Churchville, New York",Patient Care Technician,Week 1,./season_27.csv
Olivia Miller,25,"Delphos, Ohio",Stylist,Week 1,./season_27.csv
Sonia Sharma,29,"Jericho, New York",Project Manager,Week 1,./season_27.csv
Vanessa Dinh,23,"Farmington Hills, Michigan",Restaurant Marketer,Week 1,./season_27.csv
Viktoria Eichner,29,"Vienna, Austria",Nanny,Week 1,./season_27.csv
Madison Johnson,26,"Fargo, North Dakota",Business Owner,Week 1,./season_27.csv
Kelsey Anderson,25,"Leesville, Louisiana",Junior Project Manager,Winner,./season_28.csv
Daisy Kent,25,"Becker, Minnesota",Account Executive,Runner-Up,./season_28.csv
Rachel Nance,26,"Honolulu, Hawaii",ICU Nurse,Week 9,./season_28.csv
Maria Georgas,29,"Kleinburg, Ontario",Executive Assistant,Week 8,./season_28.csv
Jennifer Tran,25,"Hillsdale, New Jersey",PA Student,Week 7,./season_28.csv
Kelsey Toussant,31,"Inglewood, California",Actress,Week 7,./season_28.csv
Katelyn DeBacker,26,"Santa Fe, New Mexico",Radiochemist,Week 6,./season_28.csv
Lea Cayanan,23,"Waipahu, Hawaii",Account Manager,Week 6,./season_28.csv
Lexi Young,30,"Pataskala, Ohio",Digital Strategist,Week 6,./season_28.csv
Jessica Edwards,24,"Erwin, Tennessee",Executive Assistant,Week 6,./season_28.csv
Autumn Waggoner,26,"De Soto, Missouri",Account Executive,Week 5,./season_28.csv
Madina Alam,31,"Charlotte, North Carolina",Mental Health Therapist,Week 5,./season_28.csv
Allison Hollinger,26,"Dover, Delaware",Realtor,Week 4,./season_28.csv
Edwina Dorbor,25,"Maple Grove, Minnesota",Entrepreneur,Week 4,./season_28.csv
Sydney Gordon,28,"Newport, Rhode Island",Vintage Store Owner,Week 4,./season_28.csv
Chrissa Perez,26,"Abbotsford, British Columbia",Marketing Director,Week 3,./season_28.csv
Evalin Clark,29,"San Antonio, Texas",Nanny,Week 3,./season_28.csv
Starr Skyler,25,"Delray Beach, Florida",Mental Health Counselor,Week 3,./season_28.csv
Erika Cardenas,25,"North Bergen, New Jersey",Leasing Agent,WeekWeek 2,./season_28.csv
Marlena Haddad,26,"Waterbury, Connecticut",Finance Writer,Week 2,./season_28.csv
Taylor Wiens,23,"Olathe, Kansas",Recruiter,Week 2,./season_28.csv
Lauren Hollinger,28,"Dover, Delaware",Registered Nurse,Week 2,./season_28.csv
Chandler Dewgard,24,"Brooklyn, New York",Graphic Designer,Week 1,./season_28.csv
Kayla Rodgers,27,"Hamilton, Ohio",Guidance Counselor,Week 1,./season_28.csv
Kyra Brusch,26,"Miami, Florida",Paralegal,Week 1,./season_28.csv
Lanie Latsios,27,"Glen Mills, Pennsylvania",Realtor,Week 1,./season_28.csv
Natalie Crepeau,26,"Sudbury, Ontario",Nursing Professor,Week 1,./season_28.csv
Samantha Hale,31,"Melville, New York",CPA,Week 1,./season_28.csv
Samantha Washington,25,"Lincoln, Nebraska",Miami Dolphins Cheerleader,Week 1,./season_28.csv
Sandra Rabadi,26,"Strongsville, Ohio",Cybersecurity Consultant,Week 1,./season_28.csv
Talyah Jackson,23,"Huntington Beach, California",Esthetician,Week 1,./season_28.csv
Zoe Antona,24,"Roswell, Georgia",Artist,Week 1,./season_28.csv
